user_id,ticket_id,customer_name,event_name,event_date,venue_name,seat_number,ticket_price,payment_method,booking_date,booking_status,event_type
1,1,Haven Blindermann,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,02-06-2022,tempus sit amet sem fusce consequat nulla nisl nunc nisl,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,74.48,debit card,12/17/2022,cancelled,dance
2,2,Zeb Raraty,lorem vitae mattis nibh ligula nec sem duis aliquam convallis,9/25/2022,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,nec sem duis aliquam convallis nunc proin at turpis a pede posuere,232.98,PayPal,04-01-2022,confirmed,sci-fi movie
3,3,Aleda Coppock.,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,11/18/2022,blandit non interdum in ante vestibulum ante ipsum primis in,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,240.57,debit card,11/13/2022,confirmed,f1
4,4,Lolita Watmore,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,4/14/2022,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,sed accumsan felis ut at dolor quis odio consequat varius integer,240.06,debit card,1/29/2022,confirmed,dance
5,5,Sherm Sorby,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,01-11-2022,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,magna ac consequat metus sapien ut nunc vestibulum ante ipsum,338.21,PayPal,5/26/2022,pending,cricket
6,6,Tova Wicklen,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,11-12-2022,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,283.87,credit card,7/25/2022,confirmed,music
7,7,Bar Chittleburgh,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,6/16/2022,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,53.33,debit card,4/18/2022,confirmed,thriller movie
8,8,Vincenty Clampe,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,01-07-2022,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,272.83,debit card,08-07-2022,cancelled,thriller movie
9,9,Swen Bernardinelli,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,5/16/2022,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,373.95,PayPal,06-10-2022,pending,music
10,10,Yolande Banke,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,1/27/2022,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,489.28,debit card,07-07-2022,confirmed,football
